string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
United States of America,<2,Desktop Application Developer,,,,PHP,,Ruby,SQL,,,,,,"VB, COBOL","$40,000 - $60,000"
Canada,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,41310,Desktop Application Developer,,,,,,,,C#,,,,,Visual Basic.NET,"$40,000 - $60,000"
United States of America,41310,Desktop Application Developer,,,,,,,,C#,,,,,,"$40,000 - $60,000"
United States of America,41310,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,"vb. technologies: asp.net, wpf, wcf","$40,000 - $60,000"
United Kingdom,11,Desktop Application Developer,,,,,Python,,,,C++,C,,,,"$40,000 - $60,000"
United Kingdom,41310,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Netherlands,41435,Desktop Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,XAML,"$40,000 - $60,000"
United Kingdom,41310,Desktop Application Developer,Java,JavaScript,,,,,,C#,C++,,,,D,"$40,000 - $60,000"
United Kingdom,41310,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Italy,41435,Desktop Application Developer,,,,,,,,C#,,,,,VB.NET,"$40,000 - $60,000"
Other Europe,41435,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$40,000 - $60,000"
United States of America,41310,Desktop Application Developer,Java,JavaScript,,,Python,,,,,,,,,"$40,000 - $60,000"
Australia,41310,Desktop Application Developer,Java,,,,Python,,,C#,C++,C,,,,"$40,000 - $60,000"
Other Europe,11,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$40,000 - $60,000"
Australia,41435,Desktop Application Developer,Java,JavaScript,CSS,,,,,,,,,,,"$40,000 - $60,000"
United States of America,41435,Desktop Application Developer,Java,,,,,,,C#,C++,,,,,"$40,000 - $60,000"
United Kingdom,41435,Desktop Application Developer,,JavaScript,,PHP,,,SQL,C#,,,,,VB.net,"$40,000 - $60,000"
Canada,41310,Desktop Application Developer,Java,,,,,,,,C++,,,,,"$40,000 - $60,000"
Other Europe,41310,Desktop Application Developer,,,,PHP,,,,C#,,,,,,"$40,000 - $60,000"
United Kingdom,11,Desktop Application Developer,,JavaScript,CSS,,,,,C#,C++,,,,,"$40,000 - $60,000"
Other Europe,41435,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,"$40,000 - $60,000"
Other Europe,41435,Desktop Application Developer,,,,,Python,,,C#,,,,,,"$40,000 - $60,000"
United Kingdom,41435,Desktop Application Developer,,,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
South America,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United Kingdom,11,Desktop Application Developer,,,CSS,,,,SQL,C#,,,,,FoxPro,"$40,000 - $60,000"
United Kingdom,41310,Desktop Application Developer,Java,,CSS,PHP,,,,C#,,,,,,"$40,000 - $60,000"
Other Europe,11,Desktop Application Developer,Java,,,,Python,,SQL,,C++,C,,,,"$40,000 - $60,000"
Canada,41435,Desktop Application Developer,Java,,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United Kingdom,41310,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,"$40,000 - $60,000"
Canada,41435,Desktop Application Developer,,,,,,,SQL,C#,C++,C,,,J,"$40,000 - $60,000"
United States of America,11,Desktop Application Developer,,,,,,,,,C++,C,,,"MATLAB, IDL","$40,000 - $60,000"
Netherlands,11,Desktop Application Developer,,,CSS,PHP,,,SQL,,C++,C,,,Delphi,"$40,000 - $60,000"
France,41435,Desktop Application Developer,,,,,Python,,,C#,C++,,,,,"$40,000 - $60,000"
Other Europe,<2,Desktop Application Developer,,,CSS,PHP,,,SQL,C#,C++,,,,Common Lisp,"$40,000 - $60,000"
United States of America,41310,Desktop Application Developer,,,,,,,SQL,C#,,,,,"VB, VBA","$40,000 - $60,000"
United States of America,41435,Desktop Application Developer,,,,,Python,Ruby,,C#,,C,,,Lua,"$40,000 - $60,000"
Germany,41310,Desktop Application Developer,,,,,,,,C#,,,,,,"$40,000 - $60,000"
Australia,41435,Desktop Application Developer,,JavaScript,,,Python,,SQL,C#,C++,C,,,,"$40,000 - $60,000"
Other Europe,41310,Desktop Application Developer,,JavaScript,,PHP,Python,,SQL,,,,,,Objective-C,"$40,000 - $60,000"
Other Europe,41310,Embedded Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,41435,Embedded Application Developer,,,,,,,,,,,,None,,"$40,000 - $60,000"
Germany,11,Embedded Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,41435,Embedded Application Developer,,JavaScript,CSS,PHP,,,,C#,C++,C,Perl,,"bash, tcl","$40,000 - $60,000"
United States of America,41310,Embedded Application Developer,,,CSS,,Python,,,,,C,,,,"$40,000 - $60,000"
South America,11,Embedded Application Developer,Java,JavaScript,,,,,,C#,,,,,Objective-C,"$40,000 - $60,000"
Other Europe,41435,Embedded Application Developer,Java,,,,,,SQL,C#,C++,C,,,,"$40,000 - $60,000"
India,41435,Embedded Application Developer,,,,,,,,,C++,C,,,,"$40,000 - $60,000"
Germany,41435,Embedded Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,Objective-C,"$40,000 - $60,000"
United States of America,41310,Embedded Application Developer,,,,,,,,C#,,C,,,,"$40,000 - $60,000"
United States of America,11,Embedded Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,Assembler (x86 and win32),"$40,000 - $60,000"
Netherlands,11,Embedded Application Developer,Java,,,,,,,C#,C++,C,,,,"$40,000 - $60,000"
Other Europe,11,Embedded Application Developer,,JavaScript,CSS,,Python,Ruby,,,,C,,,Objective-C,"$40,000 - $60,000"
Germany,41310,Embedded Application Developer,,,,,,Ruby,,C#,,,,,,"$40,000 - $60,000"
Netherlands,41310,Embedded Application Developer,Java,,,PHP,,,SQL,C#,,C,,,,"$40,000 - $60,000"
Germany,41310,Embedded Application Developer,,,,,Python,,,,C++,C,,,,"$40,000 - $60,000"
Other Europe,41435,Embedded Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$40,000 - $60,000"
United States of America,41435,IT Staff / System Administrator,,,CSS,PHP,,,SQL,,,,Perl,,,"$40,000 - $60,000"
Africa,11,IT Staff / System Administrator,,,,,Python,,,,,,,,,"$40,000 - $60,000"
Other Asia,41310,IT Staff / System Administrator,Java,,,PHP,Python,,,,,,,,,"$40,000 - $60,000"
Netherlands,11,IT Staff / System Administrator,,,CSS,PHP,,Ruby,SQL,,,,,,,"$40,000 - $60,000"
United States of America,41435,IT Staff / System Administrator,Java,JavaScript,CSS,,,,,,,,,,,"$40,000 - $60,000"
United States of America,41310,IT Staff / System Administrator,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,41435,IT Staff / System Administrator,,,CSS,PHP,,,SQL,C#,C++,,Perl,,,"$40,000 - $60,000"
Other Europe,11,IT Staff / System Administrator,Java,,,,Python,,SQL,,C++,C,,,,"$40,000 - $60,000"
Italy,41435,IT Staff / System Administrator,,,,,,Ruby,,,,C,,,,"$40,000 - $60,000"
South America,11,IT Staff / System Administrator,,,,,Python,,SQL,,,C,,,,"$40,000 - $60,000"
United Kingdom,<2,IT Staff / System Administrator,,JavaScript,,PHP,Python,Ruby,,,,,,,,"$40,000 - $60,000"
Australia,11,IT Staff / System Administrator,,JavaScript,CSS,PHP,,,,,,,,,,"$40,000 - $60,000"
Other Europe,11,IT Staff / System Administrator,,,,PHP,,,SQL,C#,,C,Perl,,,"$40,000 - $60,000"
United States of America,41310,IT Staff / System Administrator,Java,,,,Python,,,C#,,,,,,"$40,000 - $60,000"
Canada,<2,IT Staff / System Administrator,Java,,,,,,,,,,,,Bash,"$40,000 - $60,000"
United States of America,41310,IT Staff / System Administrator,,,,,,,,C#,,,,,java,"$40,000 - $60,000"
United States of America,41310,IT Staff / System Administrator,,,,,Python,,SQL,,,,,,Java,"$40,000 - $60,000"
France,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Italy,11,Manager of Developers or Team Leader,Java,JavaScript,,,Python,,,,C++,C,Perl,,,"$40,000 - $60,000"
France,11,Manager of Developers or Team Leader,Java,,,,,,SQL,,,,,,,"$40,000 - $60,000"
Other Europe,41435,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,,,Delphi,"$40,000 - $60,000"
Australia,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,,Perl,,sh,"$40,000 - $60,000"
India,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,,C#,,,,,,"$40,000 - $60,000"
France,41310,Manager of Developers or Team Leader,,,CSS,PHP,,Ruby,,,,,,,Objective-C,"$40,000 - $60,000"
Other Europe,11,Manager of Developers or Team Leader,,,,,Python,,,,,,Perl,,,"$40,000 - $60,000"
Russia,41310,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,Perl,,,"$40,000 - $60,000"
South America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,,,,,,RPG,"$40,000 - $60,000"
France,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,vb.net,"$40,000 - $60,000"
South America,11,Manager of Developers or Team Leader,,,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
United States of America,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,C,,,,"$40,000 - $60,000"
France,41435,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Russia,41435,Manager of Developers or Team Leader,,,,,,,,C#,C++,,,,,"$40,000 - $60,000"
Other Europe,11,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Russia,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,"$40,000 - $60,000"
Other Europe,11,"Executive (VP of Eng, CTO, CIO, etc.)",Java,JavaScript,,PHP,,,,,C++,C,,,,"$40,000 - $60,000"
United States of America,41310,"Executive (VP of Eng, CTO, CIO, etc.)",Java,JavaScript,CSS,PHP,,,,,,,,,,"$40,000 - $60,000"
India,11,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,,,,,,None,,"$40,000 - $60,000"
Italy,41310,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,Python,,,,C++,C,,,,"$40,000 - $60,000"
Other Asia,41435,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$40,000 - $60,000"
United States of America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,PHP,,Ruby,,,,,,,,"$40,000 - $60,000"
United States of America,41310,Other,,,,,,,,,,C,,,Applescript,"$60,000 - $80,000"
Australia,41310,Other,,,,,Python,,SQL,C#,C++,C,,,Lua,"$60,000 - $80,000"
South America,11,Other,Java,JavaScript,CSS,,Python,,SQL,,,C,Perl,,,"$60,000 - $80,000"
Other Europe,11,Other,Java,,CSS,,,,SQL,,C++,C,Perl,,,"$60,000 - $80,000"
United Kingdom,11,Other,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,Perl,,,"$60,000 - $80,000"
United States of America,41310,Other,,,,,Python,,,C#,C++,C,,,,"$60,000 - $80,000"
Australasia,11,Other,Java,JavaScript,CSS,,,,,,,,,,,"$60,000 - $80,000"
United States of America,11,Other,Java,,,,Python,,,,,C,Perl,,,"$60,000 - $80,000"
Australia,<2,Other,,,CSS,,,,SQL,,,C,,,Lua,"$60,000 - $80,000"
United Kingdom,11,Other,Java,,,PHP,,,,,C++,,,,,"$60,000 - $80,000"
France,11,Other,,JavaScript,,,,,SQL,C#,C++,C,,,,"$60,000 - $80,000"
United Kingdom,11,Other,,,,PHP,,,SQL,C#,C++,C,Perl,,VB.Net,"$60,000 - $80,000"
United States of America,41435,Other,Java,,,PHP,,,,,,,,,bash,"$60,000 - $80,000"
Canada,11,Other,,,,,,,SQL,C#,C++,,,,,"$60,000 - $80,000"
United States of America,41310,Other,,,,,Python,,,,C++,C,,,,"$60,000 - $80,000"
United Kingdom,41435,Other,Java,,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
United Kingdom,11,Other,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$60,000 - $80,000"
Middle East,41310,Other,,,,,Python,,,,C++,C,,,,"$60,000 - $80,000"
Australia,11,Other,Java,JavaScript,CSS,,Python,,SQL,,,,,,,"$60,000 - $80,000"
United Kingdom,11,Other,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,C,,,,"$60,000 - $80,000"
Australia,41435,Other,,JavaScript,CSS,,Python,,,,C++,C,,,,"$60,000 - $80,000"
United Kingdom,41435,Other,,,,,Python,,,,,C,,,R,"$60,000 - $80,000"
United States of America,11,Other,,JavaScript,,,,,,C#,,C,,,,"$60,000 - $80,000"
Australia,11,Student,Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,"$60,000 - $80,000"
Australia,41435,IT Manager,,,,PHP,,,,,,,,,,"$60,000 - $80,000"
Other Asia,11,IT Manager,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,,"$60,000 - $80,000"
United States of America,41435,IT Manager,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,C++,,,,ColdFusion,"$60,000 - $80,000"
Middle East,11,IT Manager,,,,,,,,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,IT Manager,,JavaScript,CSS,PHP,Python,,SQL,C#,,,,,,"$60,000 - $80,000"
Germany,41310,IT Manager,,JavaScript,CSS,PHP,,,,,,,,,,"$60,000 - $80,000"
United States of America,41435,IT Manager,Java,,,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
Australasia,41435,IT Manager,,,CSS,,,,,C#,,,,,,"$60,000 - $80,000"
United Kingdom,11,IT Manager,,JavaScript,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Systems Analyst,,JavaScript,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Systems Analyst,,JavaScript,CSS,,,,SQL,,,,,,VB.net,"$60,000 - $80,000"
Netherlands,11,Systems Analyst,,,,,,,,,,,Perl,,excel,"$60,000 - $80,000"
United States of America,41435,Systems Analyst,,,CSS,PHP,,,SQL,C#,,,,,ABAP,"$60,000 - $80,000"
Canada,11,Systems Analyst,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
Canada,11,Systems Analyst,Java,JavaScript,CSS,PHP,,,SQL,C#,,C,Perl,,,"$60,000 - $80,000"
United States of America,11,Systems Analyst,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
South America,41435,Systems Analyst,Java,JavaScript,CSS,,,,SQL,,,,,,,"$60,000 - $80,000"
Australia,41310,Systems Analyst,Java,JavaScript,CSS,PHP,,,SQL,,C++,,,,"UniQuery, UniBasic","$60,000 - $80,000"
United States of America,11,Systems Analyst,,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Systems Analyst,,,,PHP,,,SQL,,,,,,,"$60,000 - $80,000"
United States of America,11,Systems Analyst,Java,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$60,000 - $80,000"
Other Europe,41435,Server Programmer,Java,,,,,,SQL,C#,C++,C,,,,"$60,000 - $80,000"
Canada,41435,Server Programmer,,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United Kingdom,41435,Server Programmer,,,,,,Ruby,SQL,C#,,,Perl,,,"$60,000 - $80,000"
United States of America,41435,Server Programmer,Java,,,PHP,Python,,SQL,,,C,,,,"$60,000 - $80,000"
Canada,11,Server Programmer,Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,Perl,,,"$60,000 - $80,000"
Australasia,11,Server Programmer,,,,,Python,,,,C++,C,,,,"$60,000 - $80,000"
United Kingdom,11,Server Programmer,,,,,,,,C#,C++,C,,,vb6 vb.net,"$60,000 - $80,000"
Other Europe,11,Server Programmer,Java,JavaScript,CSS,,Python,,SQL,,,,Perl,,,"$60,000 - $80,000"
Africa,11,Server Programmer,Java,,,,,,SQL,,C++,C,,,,"$60,000 - $80,000"
Australasia,11,Server Programmer,,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Server Programmer,,,,,,,SQL,,,,,,PL/SQL,"$60,000 - $80,000"
Other Europe,41435,Server Programmer,Java,,,,,,SQL,,C++,C,,,Objective C,"$60,000 - $80,000"
United States of America,41435,Server Programmer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$60,000 - $80,000"
Other Europe,41435,Server Programmer,,JavaScript,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United Kingdom,11,Server Programmer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Server Programmer,,,,,,,,C#,,,,,,"$60,000 - $80,000"
Middle East,11,Server Programmer,,,,,Python,,,,C++,C,Perl,,,"$60,000 - $80,000"
United Kingdom,11,Server Programmer,Java,JavaScript,,,,,SQL,,C++,C,,,,"$60,000 - $80,000"
France,41435,Server Programmer,,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Africa,11,Server Programmer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Australia,11,Server Programmer,,,,,Python,,,,,,,,,"$60,000 - $80,000"
Canada,41310,Server Programmer,,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,,"$60,000 - $80,000"
Australasia,11,Server Programmer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Server Programmer,Java,,,,,,,,,,,,,"$60,000 - $80,000"
United States of America,<2,Server Programmer,,,,,,,,C#,,,,,,"$60,000 - $80,000"
Canada,41435,Server Programmer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
France,41435,Server Programmer,Java,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,,"$60,000 - $80,000"
Other Europe,11,Server Programmer,Java,JavaScript,,,Python,,,,C++,C,,,,"$60,000 - $80,000"
United States of America,11,Server Programmer,,JavaScript,CSS,,,,SQL,C#,,,Perl,,,"$60,000 - $80,000"
Other Europe,41435,Server Programmer,Java,,,,,,,C#,C++,,,,,"$60,000 - $80,000"
United States of America,41310,Server Programmer,,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Server Programmer,,JavaScript,CSS,PHP,,,,,,,,,,"$60,000 - $80,000"
United States of America,41310,Server Programmer,,,,,Python,,SQL,,C++,,,,,"$60,000 - $80,000"
Other Europe,11,Server Programmer,Java,,,,Python,Ruby,,,,,Perl,,,"$60,000 - $80,000"
Other Europe,41435,Server Programmer,Java,,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Server Programmer,,,,,Python,,,,C++,,,,R,"$60,000 - $80,000"
United States of America,11,Server Programmer,Java,JavaScript,CSS,,,,,C#,C++,,,,,"$60,000 - $80,000"
Canada,41435,Server Programmer,,,,,,,SQL,C#,C++,,,,,"$60,000 - $80,000"
United States of America,41435,Database Administrator,,,,,,,SQL,,,,,,VB.NET,"$60,000 - $80,000"
United Kingdom,11,Kernel / Driver Developer,Java,JavaScript,,,,,,C#,C++,C,,,"Delphi, bash","$60,000 - $80,000"
United States of America,41310,Kernel / Driver Developer,,,,,,,,C#,C++,C,,,,"$60,000 - $80,000"
Australia,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United Kingdom,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$60,000 - $80,000"
Canada,11,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,C#,,C,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,Python,,SQL,,,,,,,"$60,000 - $80,000"
Canada,41310,Web Application Developer,Java,,,,Python,,,,,,,,Smalltalk,"$60,000 - $80,000"
United Kingdom,11,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,,"$60,000 - $80,000"
Germany,41435,Web Application Developer,Java,JavaScript,CSS,,,,,,C++,C,,,"Lisp, Clojure","$60,000 - $80,000"
Canada,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Germany,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$60,000 - $80,000"
United Kingdom,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,"$60,000 - $80,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Australia,41310,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"$60,000 - $80,000"
Other Europe,11,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,Python,,SQL,C#,,,,,,"$60,000 - $80,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,Perl,,,"$60,000 - $80,000"
Australia,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,,,,,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,VB,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$60,000 - $80,000"
United Kingdom,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,Java,,,,,,,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Canada,11,Web Application Developer,,,CSS,,,Ruby,SQL,C#,,,,,"Delphi, Objective-C","$60,000 - $80,000"
Canada,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,"Actionscript 3, Objective-C","$60,000 - $80,000"
United States of America,41310,Web Application Developer,,,CSS,PHP,,Ruby,SQL,C#,C++,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,,,,,,,ColdFusion,"$60,000 - $80,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,<2,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,F#,"$60,000 - $80,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,Perl,,Objective-C,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"$60,000 - $80,000"
Other Europe,11,Web Application Developer,,JavaScript,,,,,SQL,,,,,,ActionScript,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Canada,11,Web Application Developer,Java,,,,,,,,,,,,scala,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,,,,,,,,"$60,000 - $80,000"
Other Asia,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,,,,C,,,,"$60,000 - $80,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,tcl,"$60,000 - $80,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,Java,JavaScript,,PHP,,Ruby,SQL,,C++,C,,,Objective-C,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,,CSS,,,,,,,,,,HTML,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,Perl,,,"$60,000 - $80,000"
Other Europe,11,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,,,,,,,"$60,000 - $80,000"
Netherlands,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,Perl,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,f#,"$60,000 - $80,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
Canada,41435,Web Application Developer,,,,,,Ruby,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,Perl,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,"$60,000 - $80,000"
North America (Other),11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,C++,C,Perl,,Objective-C,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,C++,,,,"Groovy, Scala","$60,000 - $80,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$60,000 - $80,000"
