string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
Germany,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,"Groovy, Grails"
France,11+ years,Full-stack web developer,,,,,Cassandra,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United Kingdom,11+ years,Full-stack web developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,Perl,PHP,,,,,,,,,,,,,,,,
United States,2 - 5 years,Mobile developer - Android,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,
Russian Federation,2 - 5 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,System administrator,C,C++,C++11,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Brazil,2 - 5 years,,,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Finland,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Netherlands,6 - 10 years,Back-end web developer,C,,,,,,,,,,,,,Haskell,,Java,,,,,,Objective-C,,PHP,,R,Redis,Ruby,,,,,,SQL,,,,,,
Switzerland,11+ years,Business intelligence or data warehousing expert,,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Spain,2 - 5 years,Desktop developer,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenSceneGraph
United States,11+ years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,Salesforce,,,,SQL,SQL Server,,,,,
Germany,11+ years,DevOps,,,,,,CoffeeScript,,,,,,,,,,Java,,,,,,,Perl,,,,,Ruby,,,,,,SQL,,,,,,
United States,11+ years,Embedded application developer,C,,C++11,,,,,,,,,,,,,,,LAMP,Matlab,,,,,,,,,,,,,,,,,Swift,,,,
Denmark,6 - 10 years,Front-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,R,,,,,,,,,,,,,,
Canada,2 - 5 years,Full-stack web developer,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,PHP,Python,,Redis,Ruby,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,
United Kingdom,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,JavaScript,,,MongoDB,Node.js,Objective-C,,,,,,,,,,,,,SQL Server,,,,,
Canada,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,Python,,,,,,,,,SQL,,,,,,
Turkey,Less than 1 year,Mobile developer,C,,,,,,,,,,,,,,iOS,Java,,,Matlab,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
United States,11+ years,Mobile developer - iOS,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
India,Less than 1 year,Mobile developer - iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift,,,,
United States,2 - 5 years,Product manager,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Australia,2 - 5 years,Student,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,Windows Phone,,
Canada,Less than 1 year,Student,,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,1 - 2 years,Student,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Czech Republic,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
France,2 - 5 years,Student,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,Wordpress,
United Kingdom,2 - 5 years,Student,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,Windows Phone,,
United Kingdom,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No extensive development in the last year
United States,11+ years,,C,C++,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,Python,,,,,,,,,,,,,,,Erlang
India,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,MongoDB,,,,PHP,,,,,,,,,,,,,,,,
Poland,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,SQL,,,Visual Basic,,,
United Kingdom,11+ years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,Desktop developer,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Germany,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Singapore,1 - 2 years,DevOps,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,Enterprise level services developer,C,,,C#,Cassandra,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,LAMP,,MongoDB,,Objective-C,,,Python,,,,,,Scala,,,SQL,SQL Server,Swift,,,,
Ireland {Republic},6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Australia,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Spain,6 - 10 years,Full-stack web developer,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,Windows Phone,Wordpress,
United States,6 - 10 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,Node.js,,,,Python,,,,,,,,,SQL,,,,,,
Germany,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,Python,,,,,,,,,,,,,,,
Germany,1 - 2 years,Student,C,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
New Zealand,1 - 2 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,11+ years,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,ASP
China,11+ years,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,Redis,,,,,,,SQL,,,,,,
India,2 - 5 years,Designer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Canada,6 - 10 years,Desktop developer,,C++,C++11,,,,,,,,,Go,,,,Java,JavaScript,,,,,,,,Python,,Redis,,,,,,,,,,,,,
France,2 - 5 years,Desktop developer,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Iran,1 - 2 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2 - 5 years,Embedded application developer,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1 - 2 years,Embedded application developer,C,C++,C++11,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,AVR Assembler
Indonesia,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Sweden,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,11+ years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,"Suneido, Mootools"
Germany,2 - 5 years,Front-end web developer,C,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,Wordpress,
Netherlands,1 - 2 years,Front-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Austria,6 - 10 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,,,,MongoDB,,,,,,,,Ruby,,,,,,SQL,,,,,,
Russian Federation,11+ years,Full-stack web developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,bash
Brazil,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,
Netherlands,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
Serbia,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,,,,,,,,,,SQL,SQL Server,,,,,
Russian Federation,6 - 10 years,Full-stack web developer,,C++,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,Redis,,,,,,,SQL,,,,,,
India,1 - 2 years,Mobile developer - iOS,C,C++,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Canada,2 - 5 years,Student,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,,Python,,,Ruby,,,,,,SQL,,,,,,
Denmark,6 - 10 years,Student,,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Student,,,,C#,,,,,,,F#,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Student,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Uruguay,11+ years,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,Python,,,,,,,,,,,,,,,
United Kingdom,11+ years,,,C++,C++11,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,
United States,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United Kingdom,2 - 5 years,Back-end web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United States,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
N/A,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,,,,,,,,,,,,,
Germany,6 - 10 years,Back-end web developer,C,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,,,,,Windows Phone,,TypeScript
Belgium,6 - 10 years,Desktop developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,6 - 10 years,Desktop developer,C,C++,C++11,,,,,,,,,,,,,,,,,,,Objective-C,,,Python,,,,,,,,,,,,,,,
Germany,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,SQL,,,Visual Basic,,,
Peru,2 - 5 years,Developer with a statistics or mathematics background,,C++,C++11,C#,,,,,,,F#,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Russian Federation,2 - 5 years,Front-end web developer,,C++,C++11,,,,,,,,,,,Haskell,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,Redis,Ruby,Rust,,,,,SQL,,Swift,,,,
United States,11+ years,Full-stack web developer,,C++,,,,,,,,,,,,Haskell,,,JavaScript,LAMP,,,Node.js,,,PHP,Python,,,,,,,,,SQL,,,,,,
United States,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Netherlands,1 - 2 years,Full-stack web developer,C,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,6 - 10 years,Full-stack web developer,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
Italy,2 - 5 years,Mobile developer - Android,,,,,,,,,,,,Go,,,,Java,,,,MongoDB,,,,,,,,,,,,,,,,,,,,
Romania,2 - 5 years,Student,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Canada,2 - 5 years,Student,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Germany,11+ years,Student,,,,,,,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Student,C,,,C#,,,,,,,,,Hadoop,,,Java,,,,,Node.js,,,,Python,,,,,,,,,SQL,,,,,,
Uruguay,6 - 10 years,System administrator,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Bash
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
United Kingdom,Less than 1 year,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2 - 5 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,Developer with a statistics or mathematics background,C,C++,,,,,,,,,,,,,,,,,Matlab,,,,Perl,,Python,,,,,,,,,,,,Visual Basic,,,"lisp, fortran, assembler"
Russian Federation,2 - 5 years,Developer with a statistics or mathematics background,,,,,,CoffeeScript,,Clojure,,,,,,,,,JavaScript,,Matlab,MongoDB,Node.js,,,,,,Redis,,,,,,,,,,,,,
India,2 - 5 years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Finland,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",C,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,,Ruby,,,,,,SQL,,,Visual Basic,,,
India,Less than 1 year,"Executive (VP of Eng., CTO, CIO, etc.)",C,C++,,C#,Cassandra,CoffeeScript,Cordova,Clojure,"Cloud (AWS, GAE, Azure, etc.)",Dart,F#,Go,Hadoop,Haskell,iOS,Java,JavaScript,LAMP,Matlab,MongoDB,Node.js,Objective-C,Perl,PHP,Python,R,Redis,Ruby,,Salesforce,Scala,Sharepoint,Spark,SQL,SQL Server,Swift,Visual Basic,Windows Phone,Wordpress,
India,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,,
France,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,,,,,,
United Kingdom,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,Windows Phone,,
Australia,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
India,6 - 10 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Brazil,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,
Belgium,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
India,1 - 2 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Poland,11+ years,Business intelligence or data warehousing expert,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Data scientist,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Croatia,6 - 10 years,Desktop developer,C,C++,,C#,,,,,,,,,,,iOS,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,
Croatia,6 - 10 years,Desktop developer,C,C++,C++11,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,Windows Phone,,
Denmark,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",C,C++,,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Spain,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,11+ years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,Ruby on Rails
Germany,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Germany,2 - 5 years,Mobile developer - Android,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,Rust,,,,,,,,,,,
Germany,11+ years,Student,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,Redis,,,,,,,,,,,,,
India,Less than 1 year,Student,,,,,,,,,,,,,,,,Java,,,,MongoDB,,,,,Python,,,,,,,,,SQL,,,,,,
Korea North,11+ years,System administrator,C,C++,C++11,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,JavaScript,LAMP,,,,Objective-C,Perl,PHP,Python,,,,,,,,,SQL,SQL Server,,,,Wordpress,
N/A,2 - 5 years,System administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,
Spain,6 - 10 years,System administrator,,C++,,,,,,,,,,,,,,Java,,LAMP,,,,,,PHP,Python,,Redis,,,,,,,SQL,,,,,,
Germany,11+ years,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,VBA
United Kingdom,2 - 5 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,2 - 5 years,Back-end web developer,C,C++,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,Windows Phone,,
Serbia,1 - 2 years,Enterprise level services developer,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,Python,R,,,,,,Sharepoint,,,SQL Server,,,,,
India,2 - 5 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Israel,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,11+ years,Full-stack web developer,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,
Brazil,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Spain,11+ years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,Redis,,,,,,,,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,,,,,,,
Ireland {Republic},6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
India,Less than 1 year,Mobile developer,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,6 - 10 years,Student,,,,C#,,,,,,,F#,,,Haskell,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Finland,2 - 5 years,Student,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,Redis,,,,,,,,,,,,,
United States,11+ years,Student,,,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,11+ years,Data scientist,C,C++,C++11,,,,,,,,,,,Haskell,,,JavaScript,,,MongoDB,Node.js,,,,Python,,,,,,,,,,,,,,,
Germany,6 - 10 years,Desktop developer,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,Actionscript 3.0
Italy,11+ years,Desktop developer,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
Romania,Less than 1 year,Desktop developer,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
India,6 - 10 years,Developer with a statistics or mathematics background,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Croatia,6 - 10 years,Embedded application developer,C,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,
Belarus,2 - 5 years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
Iran,11+ years,Front-end web developer,,C++,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,Python,,,,,,,,,,,,,,,
Australia,2 - 5 years,Full-stack web developer,C,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,Windows Phone,,Typescript
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,6 - 10 years,Full-stack web developer,,C++,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,TypeScript
Hungary,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Russian Federation,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
Italy,11+ years,Growth hacker,C,C++,C++11,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,Windows Phone,,
Bosnia Herzegovina,1 - 2 years,Student,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
Canada,6 - 10 years,Student,C,,,,,,,,,,,Go,,,,,JavaScript,,,,Node.js,,,,,,Redis,,,,,,,SQL,,,,,Wordpress,
Germany,6 - 10 years,Student,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Less than 1 year,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBA
Germany,1 - 2 years,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,,,,,,,
United States,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,Node.js,,,,,,,,,,,,,,,,,,,
Germany,1 - 2 years,Back-end web developer,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,PHP,,,Redis,,,,,,,SQL,,,,,,Hacklang
United States,6 - 10 years,Desktop developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
Mexico,6 - 10 years,Desktop developer,C,C++,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Russian Federation,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,Lotus Notes
Brazil,6 - 10 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,Java,,,,,,,,,,R,,,,,,,,SQL,,,,,,
India,6 - 10 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,,,,,Clojure,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Full-stack web developer,C,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,Python,,Redis,,,,,,,,,,,,,racket
United States,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
N/A,2 - 5 years,Full-stack web developer,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
