string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
Portugal,2 - 5 years,Embedded application developer,C,,,,,,,,,,,,,,,,,,Matlab,,,,,PHP,,,,,,,,,,,,,,,,
Uruguay,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Belarus,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Iran,1 - 2 years,Front-end web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,,,,,,,
Mexico,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,,,,,,,
Mexico,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
South Africa,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,1 - 2 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,
France,1 - 2 years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,,
Egypt,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,,,,Redis,Ruby,,,,,,SQL,,,,,,
India,2 - 5 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Poland,11+ years,Full-stack web developer,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Venezuela,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,Salesforce,,,,,,,,,Wordpress,
India,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Greece,6 - 10 years,Full-stack web developer,C,C++,,,,,,Clojure,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
India,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Philippines,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,,,,,,,,,,,,,
Russian Federation,6 - 10 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,Ruby,,,,,,,,,,,Wordpress,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
India,Less than 1 year,Full-stack web developer,C,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,Html css
India,1 - 2 years,Growth hacker,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1 - 2 years,Mobile developer,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Jordan,2 - 5 years,Mobile developer,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,2 - 5 years,Mobile developer - Android,,C++,,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,Less than 1 year,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Less than 1 year,Mobile developer - Android,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Cyprus,2 - 5 years,Mobile developer - iOS,C,,,,,,,,,,,,,,iOS,Java,,,,MongoDB,,Objective-C,,,Python,,,,,,,,,,,,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United Kingdom,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,Python,,,,,,,,,SQL,,Swift,Visual Basic,,,
Serbia,2 - 5 years,Quality Assurance,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2 - 5 years,Quality Assurance,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,,,,,,,
Canada,6 - 10 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1 - 2 years,Student,C,C++,,,,,,,,,,,,,iOS,Java,,,,,,,,,Python,,,,,,,,,,,,,,,Smalltalk
Poland,2 - 5 years,Student,C,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,6 - 10 years,Student,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,FreeBasic
United States,6 - 10 years,Student,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Student,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Lisp
United Kingdom,11+ years,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Australia,6 - 10 years,,C,C++,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,Scala,,,SQL,,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,Less than 1 year,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.NET
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
Russian Federation,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,Redis,,,,,,,,,,,,Wordpress,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Pakistan,Less than 1 year,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,
Russian Federation,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
Iran,2 - 5 years,Desktop developer,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Qt, QML"
Poland,2 - 5 years,Embedded application developer,C,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Embedded application developer,C,C++,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
Sri Lanka,1 - 2 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
India,2 - 5 years,Front-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United Arab Emirates,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,Sharepoint,,,,,,,,
Czech Republic,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Singapore,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,Redis,,,,,,,,SQL Server,,,,,
Dominican Republic,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,"ASP, VBScript"
India,Less than 1 year,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,,Ruby,,,,,,,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Italy,6 - 10 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
Tunisia,6 - 10 years,Full-stack web developer,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Italy,6 - 10 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,,,,MongoDB,Node.js,,,PHP,,,,Ruby,,,,,,SQL,,,,,Wordpress,
N/A,Less than 1 year,Graphics programmer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,11+ years,Mobile developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ActionScript
India,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
Italy,Less than 1 year,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,2 - 5 years,Mobile developer - iOS,C,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Guatemala,2 - 5 years,Quality Assurance,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United States,6 - 10 years,Student,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,Scala,,,,,,,,,
Australia,2 - 5 years,Student,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,2 - 5 years,Student,,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
France,2 - 5 years,Student,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,1 - 2 years,System administrator,,,,,,CoffeeScript,,,,,,,,,,Java,JavaScript,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Egypt,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Portugal,1 - 2 years,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,Visual Basic,,,
United States,Less than 1 year,,C,C++,,,,,,,,,,,,,,Java,,,,MongoDB,,,,,,,,,,,,,,SQL,,,,,,
Ukraine,2 - 5 years,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,
Slovakia,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Argentina,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,iOS,,,,,,,,,PHP,,,,,,,,,,,,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Hungary,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,R,Redis,,,,,,,SQL,SQL Server,,,,,
Serbia,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,Redis,,,,,,,SQL,,,,,Wordpress,
India,Less than 1 year,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,R,,,,,,,,SQL,,,,,,
N/A,2 - 5 years,Desktop developer,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,1 - 2 years,Developer with a statistics or mathematics background,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,Mathematica
India,Less than 1 year,DevOps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2 - 5 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,
Finland,1 - 2 years,Front-end web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Front-end web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,Ruby,,,,,,,,,,,Wordpress,Liquid
Vietnam,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,1 - 2 years,Front-end web developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,Wordpress,
Thailand,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Argentina,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,
Tunisia,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Hungary,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Brazil,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
Brazil,2 - 5 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,,,,,,,
India,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
India,2 - 5 years,Full-stack web developer,C,C++,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,LAMP,,,,Objective-C,,PHP,,,Redis,,,,,,,,,,,,,MySQL
India,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Turkmenistan,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,,
N/A,11+ years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,Ruby,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,
Bulgaria,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,Wordpress,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Germany,2 - 5 years,Full-stack web developer,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Bosnia Herzegovina,11+ years,Growth hacker,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,,,,,,,,,,,,,,Visual Basic,Windows Phone,Wordpress,
India,2 - 5 years,Mobile developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Argentina,6 - 10 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,2 - 5 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,Less than 1 year,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,Node.js,,,,Python,,,,,,,,,,,,,,,
Iran,6 - 10 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,Django
Sweden,2 - 5 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Thailand,6 - 10 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,
Poland,2 - 5 years,Student,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,Student,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2 - 5 years,Student,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
Germany,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Russian Federation,2 - 5 years,Student,,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,6 - 10 years,Student,,,,,,,,,,,,,,Haskell,,Java,JavaScript,,,,Node.js,,,PHP,,,,,,,Scala,,,,,,,,,
United States,2 - 5 years,Student,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Student,,,,,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,Perl,,Python,,,,,,,,,,,,,,,
Tunisia,2 - 5 years,System administrator,,,,,,,,,,,,,,,,,,LAMP,,,,,,,Python,,,,,,,,,SQL,,,,,,
Czech Republic,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
France,1 - 2 years,,,,,C#,,,Cordova,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,Windows Phone,,
Germany,6 - 10 years,,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Philippines,2 - 5 years,Back-end web developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
Poland,6 - 10 years,Back-end web developer,C,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,Groovy
Bosnia Herzegovina,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,Hadoop,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
Pakistan,1 - 2 years,Back-end web developer,,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Spain,6 - 10 years,Back-end web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,LAMP,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,Velneo
Portugal,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,2 - 5 years,Database administrator,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Czech Republic,2 - 5 years,Desktop developer,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,1 - 2 years,Desktop developer,C,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,2 - 5 years,Desktop developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,powerscript
Slovenia,2 - 5 years,DevOps,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Bulgaria,11+ years,Embedded application developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,6 - 10 years,Embedded application developer,C,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,
India,2 - 5 years,Enterprise level services developer,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Egypt,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Bulgaria,1 - 2 years,Front-end web developer,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,,,R,,,,,,,,SQL,,,,,,Kendo UI Framework
India,Less than 1 year,Front-end web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Less than 1 year,Front-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2 - 5 years,Front-end web developer,C,,,,,,,,,,,,,,iOS,Java,JavaScript,,Matlab,,Node.js,Objective-C,,PHP,Python,,Redis,,,,,,,SQL,,Swift,,,,Joomla
United Kingdom,1 - 2 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,Wordpress,
Indonesia,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
Ukraine,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
India,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United States,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,Meteor
Iran,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,Wordpress,
Russian Federation,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,Ruby,,,,,,,,,,,,
Thailand,6 - 10 years,Full-stack web developer,C,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Czech Republic,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Estonia,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,SQL,,,,,,
Greece,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,,,,,,
Malaysia,Less than 1 year,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Pakistan,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
Finland,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
India,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,"Codeigniter, Laravel, Jquery, CSS, Twitter bootstrap, MySql, Magento"
Latvia,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Less than 1 year,Full-stack web developer,,,,,,,,Clojure,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,ExtJS
Bosnia Herzegovina,1 - 2 years,Mobile developer,,,,C#,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,SQL,,,,Windows Phone,Wordpress,
Brazil,11+ years,Mobile developer,C,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
India,Less than 1 year,Mobile developer - Android,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,Less than 1 year,Mobile developer - Android,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Ukraine,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,1 - 2 years,Mobile developer - iOS,C,C++,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
India,2 - 5 years,Product manager,C,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,Perl,PHP,Python,,,,,,,,,,SQL Server,,,,,
Australia,2 - 5 years,Student,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,Redis,,,,,,,SQL,,,,,,
India,1 - 2 years,Student,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Argentina,6 - 10 years,Student,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
France,2 - 5 years,Student,C,C++,C++11,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,,,,,,Wordpress,
Germany,Less than 1 year,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,
Germany,2 - 5 years,Student,,,,,,,,,,,,,,Haskell,,Java,JavaScript,,,,,,,PHP,,R,,,,,,,,SQL,,,,,,
