string_field_0,string_field_4,string_field_6,string_field_55,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_100
France,Software Products,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,"MongoDB, Redis","$40,000 - $60,000"
United States of America,Consulting,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,Rather not say
United States of America,Education,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,Ruby,,ColdFusion,Rather not say
United States of America,Education,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"<$20,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,Node.js,,,,,,,"$80,000 - $100,000"
Other Europe,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,,,,,"$60,000 - $80,000"
Other Europe,Consulting,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,,,,SQL,,"$40,000 - $60,000"
Australia,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Software Products,Full-Stack Web Developer,"$1,001 - $5,000",C,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,Perl,">$140,000"
South America,Finance / Banking,Full-Stack Web Developer,Don't know,,,C#,Java,,jQuery,,,,,,,SQL,,"$100,000 - $120,000"
Russia,Other,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,"$40,000 - $60,000"
Canada,Software Products,Full-Stack Web Developer,"<$1,000",,,,Java,,,,,,,Python,,SQL,,"$100,000 - $120,000"
Other Europe,Foundation / Non-Profit,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Rather not say
North America (Other),Consulting,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,PHP,Python,Ruby,SQL,,Rather not say
United States of America,Healthcare,Full-Stack Web Developer,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,,"$100,000 - $120,000"
Other Europe,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,"$20,000 - $40,000"
United Kingdom,Web Services,Full-Stack Web Developer,"$10,001 - $25,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Rather not say
Germany,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Other Asia,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,,,,,,Python,,SQL,,"$80,000 - $100,000"
India,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,,,,,,,,SQL,zk,"<$20,000"
Australia,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,,,,,PHP,,,SQL,,Rather not say
United States of America,Software Products,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,,,,SQL,,"$100,000 - $120,000"
United States of America,Education,Full-Stack Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,Ruby,,,"$100,000 - $120,000"
Middle East,Web Services,Full-Stack Web Developer,100001,C,,C#,Java,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,"$80,000 - $100,000"
Australia,Manufacturing,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Canada,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,"$40,000 - $60,000"
India,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",C,C++,C#,Java,JavaScript,jQuery,,,,PHP,Python,Ruby,SQL,,Student / Unemployed
Other Europe,Consulting,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,,,,,,,,,,,"$60,000 - $80,000"
United States of America,Consulting,Full-Stack Web Developer,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$100,000 - $120,000"
Other Europe,Software Products,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,angularjs,Rather not say
Other Europe,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,,,"$20,000 - $40,000"
Other Europe,Web Services,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,,,,,,,,"$60,000 - $80,000"
Italy,Software Products,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,Delphi,"$20,000 - $40,000"
United States of America,Education,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Other Europe,Consulting,Full-Stack Web Developer,"$10,001 - $25,000",,,,Java,,,,,,,,,SQL,,"$40,000 - $60,000"
Australasia,Web Services,Full-Stack Web Developer,,,,C#,,JavaScript,,,,,,,,SQL,VB.Net,Rather not say
Canada,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,,,,,,,,SQL,mootools,"$20,000 - $40,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,mongodb,"$20,000 - $40,000"
Australasia,Other,Full-Stack Web Developer,Don't know,C,C++,,Java,JavaScript,jQuery,,,Objective-C,,Python,Ruby,,,
Canada,Web Services,Full-Stack Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,"$40,000 - $60,000"
Other Europe,Other,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,JQuery,,,,,,SQL,Perl,"$20,000 - $40,000"
United Kingdom,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,PHP,,Ruby,,,"$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,"$40,000 - $60,000"
Germany,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,Powershell,"$60,000 - $80,000"
United States of America,Healthcare,Full-Stack Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$100,000 - $120,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,VB,Rather not say
South America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
United States of America,Software Products,Full-Stack Web Developer,"$25,001 - $100,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,"$100,000 - $120,000"
Other Europe,Web Services,Full-Stack Web Developer,,,,,Java,,,,,Objective-C,,,Ruby,,,"<$20,000"
Other Europe,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,,,,,,Node.js,,PHP,Python,,,,Rather not say
Canada,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
United Kingdom,Web Services,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,,Groovy,">$140,000"
United States of America,Healthcare,Full-Stack Web Developer,,,,C#,,,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
United Kingdom,Consulting,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,C,C++,C#,Java,JavaScript,jQuery,,,,,,,,,"$60,000 - $80,000"
Canada,Manufacturing,Full-Stack Web Developer,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Other Asia,Other,Full-Stack Web Developer,"<$1,000",,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Student / Unemployed
United States of America,Retail,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
Mexico,Consulting,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,,,Ruby,SQL,NOSQL,"$20,000 - $40,000"
United States of America,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
Other Europe,Software Products,Full-Stack Web Developer,Don't know,,,,Java,,,,,,,,Ruby,SQL,,"$80,000 - $100,000"
United States of America,Consulting,Full-Stack Web Developer,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,">$140,000"
United Kingdom,Retail,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,Nemerle,"$60,000 - $80,000"
Canada,Web Services,Full-Stack Web Developer,100001,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Student / Unemployed
Germany,Other,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,,,,SQL,ColdFusion,"$60,000 - $80,000"
Canada,Advertising,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
South America,Software Products,Full-Stack Web Developer,"<$1,000",C,C++,,,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,bash,"<$20,000"
United States of America,Software Products,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Rather not say
United States of America,Software Products,Full-Stack Web Developer,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Rather not say
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,"$80,000 - $100,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,C#,,,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
Other Europe,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,,"$100,000 - $120,000"
United States of America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,JQuery,Node.js,,PHP,,Ruby,SQL,,"$60,000 - $80,000"
South America,Software Products,Full-Stack Web Developer,Don't know,,C++,,Java,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United Kingdom,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"$80,000 - $100,000"
Germany,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$100,000 - $120,000"
Australia,Foundation / Non-Profit,Full-Stack Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,"CoffeeScript, Bash","<$20,000"
India,Software Products,Full-Stack Web Developer,,C,C++,,Java,JavaScript,,,,,,Python,Ruby,,,"$20,000 - $40,000"
South America,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,Rather not say
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,,,Rather not say
Other Europe,Web Services,Full-Stack Web Developer,Don't know,C,,,,JavaScript,jQuery,,,,,Python,,,,Student / Unemployed
Africa,Software Products,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"<$20,000"
United Kingdom,Other,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,C,C++,C#,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,"$60,000 - $80,000"
Other Europe,Consulting,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,ASP.NET MVC,"$40,000 - $60,000"
Russia,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,Python,,SQL,"CSS, HTML, XML",Rather not say
Australasia,Consulting,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,,,,SQL,VB.Net!,"$80,000 - $100,000"
Canada,Manufacturing,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,Rather not say
United States of America,Education,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
Other Europe,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
United Kingdom,Web Services,Full-Stack Web Developer,Don't know,,C++,,Java,JavaScript,jQuery,,,,,Python,,SQL,,"$100,000 - $120,000"
United Kingdom,Software Products,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,"$40,000 - $60,000"
United Kingdom,Software Products,Full-Stack Web Developer,,,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,Visual Basic,"$40,000 - $60,000"
United States of America,Other,Full-Stack Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.NET,"$40,000 - $60,000"
Other Asia,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,,"<$20,000"
United States of America,Consulting,Full-Stack Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,C#,,,jQuery,,,,,,,SQL,Telerik,"$60,000 - $80,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,PHP,,,SQL,Grails,"$40,000 - $60,000"
Other Asia,Software Products,Full-Stack Web Developer,,,,,Java,,,,,,,,,SQL,,"<$20,000"
United States of America,Retail,Full-Stack Web Developer,Don't know,,,C#,,,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,,,,SQL,Dojo,"$40,000 - $60,000"
India,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Consulting,Full-Stack Web Developer,"$1,001 - $5,000",C,C++,,Java,,,,,,,,Ruby,,,Rather not say
United States of America,Other,Full-Stack Web Developer,Don't know,,,,,,,,,,,,Ruby,SQL,Flex/Actionscript,Rather not say
Other Europe,Consulting,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,,Python,,,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,,,,,,Python,Ruby,SQL,,"$80,000 - $100,000"
United States of America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,MySQL,"$80,000 - $100,000"
United States of America,Software Products,Full-Stack Web Developer,,,,,,,jQuery,,,,,,Ruby,SQL,,"$120,000 - $140,000"
United Kingdom,Web Services,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,Objective-C,PHP,Python,,SQL,,"$20,000 - $40,000"
India,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,,,,mongo DB,"<$20,000"
Russia,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"<$20,000"
Germany,Software Products,Full-Stack Web Developer,Don't know,,,,,JavaScript,,,,,PHP,,,SQL,,"$20,000 - $40,000"
Other Europe,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,SQL,,"$20,000 - $40,000"
United Kingdom,Web Services,Full-Stack Web Developer,"$25,001 - $100,000",,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,Python,,SQL,Shopify / Liquid,
France,Web Services,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,Rather not say
United Kingdom,Healthcare,Full-Stack Web Developer,Don't know,,,C#,,,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
United States of America,Education,Full-Stack Web Developer,,,C++,,,JavaScript,jQuery,,Node.js,,PHP,,Ruby,SQL,,"$20,000 - $40,000"
United Kingdom,Finance / Banking,Full-Stack Web Developer,"<$1,000",,C++,C#,,JavaScript,jQuery,,Node.js,,,Python,,SQL,,"$100,000 - $120,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
United States of America,Consulting,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,Perl,"$100,000 - $120,000"
India,Software Products,Full-Stack Web Developer,"<$1,000",,,,Java,,,,,,PHP,,,,,"<$20,000"
United States of America,Healthcare,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,"ext.core, sass","$40,000 - $60,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,PHP,,,SQL,,Rather not say
United States of America,Web Services,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,visual basic 6,Rather not say
Other Europe,Software Products,Full-Stack Web Developer,Don't know,,,,Java,,,,,,PHP,,,SQL,Flex,"$40,000 - $60,000"
Australia,Consulting,Full-Stack Web Developer,Don't know,C,,C#,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,"$80,000 - $100,000"
India,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"<$20,000"
South America,Consulting,Full-Stack Web Developer,"<$1,000",C,,,,JavaScript,,,,,PHP,Python,,SQL,Mootools,"$40,000 - $60,000"
Canada,Web Services,Full-Stack Web Developer,Don't know,,,,,,,,,Objective-C,,Python,,,,"$120,000 - $140,000"
United Kingdom,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,"$40,000 - $60,000"
Netherlands,Retail,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,coldfusion,"$20,000 - $40,000"
Russia,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,JQuery,,,PHP,,,SQL,,"$20,000 - $40,000"
Canada,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,,,,,,,,SQL,VB.Net,"$60,000 - $80,000"
United States of America,Healthcare,Full-Stack Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,"groovy, xml, xquery","$80,000 - $100,000"
Other Europe,Software Products,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,Rather not say
United States of America,Software Products,Full-Stack Web Developer,,,,C#,,,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
United States of America,Retail,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.net,"$80,000 - $100,000"
Canada,Healthcare,Full-Stack Web Developer,Don't know,,,,Java,,jQuery,,,,,Python,,SQL,Scala,"$100,000 - $120,000"
Germany,Web Services,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,C,C++,C#,,JavaScript,jQuery,,,,PHP,,,SQL,X86 assembler,"$20,000 - $40,000"
United States of America,Software Products,Full-Stack Web Developer,Don't know,C,C++,,Java,JavaScript,jQuery,,Node.js,,,,,SQL,Bash,"$80,000 - $100,000"
Germany,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,,Python,,SQL,,"$40,000 - $60,000"
Other Asia,Software Products,Full-Stack Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"<$20,000"
United States of America,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,JavaScript,,,,,,,,SQL,,Rather not say
United States of America,Finance / Banking,Full-Stack Web Developer,Don't know,,C++,,,,,JQuery,,,PHP,,,,javascript,"$80,000 - $100,000"
Other Asia,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,,,,,,PHP,,,,,Rather not say
Netherlands,Software Products,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,"$60,000 - $80,000"
United States of America,Software Products,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,PHP,,Ruby,SQL,Ada,"$120,000 - $140,000"
United States of America,Software Products,Full-Stack Web Developer,100001,,,C#,Java,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,SQL,,"$120,000 - $140,000"
Other Asia,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,"$20,000 - $40,000"
Middle East,Consulting,Full-Stack Web Developer,"$25,001 - $100,000",,,C#,,JavaScript,jQuery,JQuery,,,PHP,,Ruby,SQL,,Rather not say
South America,Software Products,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
Germany,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
United States of America,Healthcare,Full-Stack Web Developer,Don't know,,,C#,,,,,,,,,,SQL,"Silverlight, WPF, XAML","$40,000 - $60,000"
Other Asia,Education,Full-Stack Web Developer,Don't know,,C++,,,JavaScript,jQuery,,,,,,Ruby,SQL,,Rather not say
United States of America,Healthcare,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,SQL,Groovy,"$60,000 - $80,000"
United Kingdom,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
United States of America,Foundation / Non-Profit,Full-Stack Web Developer,Don't know,,,,,JavaScript,,,,,PHP,,,,,"$20,000 - $40,000"
United States of America,Web Services,Full-Stack Web Developer,,,,,,,jQuery,,,,PHP,,Ruby,,,Rather not say
Other Europe,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
Other Europe,Software Products,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,,,,SQL,,"$40,000 - $60,000"
Other Europe,Education,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,,,,,"$100,000 - $120,000"
United States of America,Software Products,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"$80,000 - $100,000"
Other Europe,Software Products,Full-Stack Web Developer,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,,,,,,,,,"$80,000 - $100,000"
Australia,Web Services,Full-Stack Web Developer,Don't know,,,C#,,,,,,,,,,SQL,Flex,"$60,000 - $80,000"
Other Europe,Web Services,Full-Stack Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,iOS dev.,"$20,000 - $40,000"
United Kingdom,Healthcare,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
United States of America,Other,Full-Stack Web Developer,Don't know,,,,Java,JavaScript,,,,,,,,SQL,,"$60,000 - $80,000"
Other Europe,Web Services,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$100,000 - $120,000"
Middle East,Software Products,Full-Stack Web Developer,"$10,001 - $25,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,"<$20,000"
United States of America,Software Products,Full-Stack Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
United States of America,Software Products,Full-Stack Web Developer,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
Australia,Other,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
Germany,Other,Full-Stack Web Developer,100001,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"$20,000 - $40,000"
Canada,Consulting,Full-Stack Web Developer,"$10,001 - $25,000",,,,,JavaScript,jQuery,,,Objective-C,,,Ruby,,,"$80,000 - $100,000"
France,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Software Products,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
United States of America,Retail,Full-Stack Web Developer,100001,,,,Java,JavaScript,,,,,,,,SQL,,"$120,000 - $140,000"
United States of America,Healthcare,Full-Stack Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,"$80,000 - $100,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,"drupal, mysql",Rather not say
United States of America,Other,Full-Stack Web Developer,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Germany,Education,Full-Stack Web Developer,"<$1,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,Groovy/Grails,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,,,,,,,jQuery,,,,,,,SQL,Perl,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,Objective-C,PHP,Python,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Full-Stack Web Developer,"<$1,000",,,,,JavaScript,,,,,,,,SQL,Perl,"$40,000 - $60,000"
Other Europe,Software Products,Full-Stack Web Developer,"<$1,000",,,C#,,,jQuery,,,,,,,,,"<$20,000"
United States of America,Software Products,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,"$100,000 - $120,000"
United States of America,Web Services,Full-Stack Web Developer,"$10,001 - $25,000",C,C++,,,JavaScript,jQuery,,,Objective-C,,Python,,SQL,,"$100,000 - $120,000"
United States of America,Advertising,Full-Stack Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
