string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
France,6/10/2014,Full-Stack Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,SQL,
United States,<2,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,,,,Python,,,
United Kingdom,2/5/2014,Full-Stack Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,,VB.NET
United States,11,Full-Stack Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,SQL,
France,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,PHP,,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,PHP,,,SQL,
Croatia,<2,Full-Stack Web Developer,"<$20,000",,,,Java,JavaScript,,,,,,,
Canada,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,,
United States,11,Full-Stack Web Developer,">$140,000",,C++,C#,Java,JavaScript,,,,,,,"god help me, vbscript"
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,,Java,,,,,,,,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",C,,C#,,JavaScript,,,,,,SQL,
France,6/10/2014,Full-Stack Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,Python,,,Scala
Taiwan,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,,Objective-C,,Python,Ruby,,
Finland,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
India,2/5/2014,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,Node.js,,,,,,erlang
United States,2/5/2014,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,Node.js,,,,,,
Thailand,6/10/2014,Full-Stack Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,Rather not say,,,,,JavaScript,,,PHP,,Ruby,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,Java,JavaScript,,,,,Ruby,,
Germany,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,Rather not say,,,C#,Java,JavaScript,Node.js,,,Python,,SQL,
Taiwan,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,Java,,,,,,,,
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,,,,,,,"jquery, xsl, xml"
Russia,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,<2,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,,Ruby,,
France,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,,,,SQL,ASP/VBScript
Germany,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,,,,PHP,,Ruby,SQL,
Romania,<2,Full-Stack Web Developer,"<$20,000",C,C++,,Java,JavaScript,Node.js,,PHP,Python,,SQL,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
United Kingdom,11,Full-Stack Web Developer,"$120,000 - $140,000",,,,Java,,,,,,,SQL,
Australia,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,VB.NET
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,
Israel,11,Full-Stack Web Developer,,,,,,JavaScript,,,PHP,,,,
United States,11,Full-Stack Web Developer,">$140,000",,,,Java,JavaScript,Node.js,,,,,SQL,"ColdFusion, Adobe Flex"
Colombia,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,,,Ruby,,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,Python,,SQL,
India,11,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,,,,,,,,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,redis
United Kingdom,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,
Finland,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,SQL,
Canada,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,,vb.net
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,,,,,,,,Ruby,SQL,
Russia,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,C++,,Java,JavaScript,,,,Python,,SQL,
Portugal,2/5/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,Ruby,SQL,
United States,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,,Ruby,SQL,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
Lebanon,2/5/2014,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,,,,,Ruby,SQL,
United States,11,Full-Stack Web Developer,"$120,000 - $140,000",,,C#,,,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,MivaScript
Finland,2/5/2014,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,,,,Python,,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,
United States,2/5/2014,Full-Stack Web Developer,"$120,000 - $140,000",,C++,C#,Java,JavaScript,,,,Python,,,
Hungary,11,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,,,,,,SQL,
Canada,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,Python,,SQL,
United States,11,Full-Stack Web Developer,">$140,000",C,,,Java,,,,,Python,,SQL,Proprietary
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",C,,C#,,,,,,,,SQL,
South Africa,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,
Austria,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,vb.net
United States,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,,,,,ColdFusion
United States,6/10/2014,Full-Stack Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,Python,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,,Scala
India,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,Rather not say,,,C#,,,,,,,,SQL,
United Kingdom,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,,,,,,,,
United Kingdom,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
Greece,11,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,,,,,,JavaScript,,,PHP,,,,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,,,,SQL,Perl
Canada,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,Objective-C,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,,,,,Java,JavaScript,,,,,,,
United States,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
Australia,2/5/2014,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,,,PHP,,,,
Ireland,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,Python,,SQL,
Italy,6/10/2014,Full-Stack Web Developer,"<$20,000",C,C++,C#,Java,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,Node.js,,,Python,,,
India,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,Node.js,,,,,SQL,
United States,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,"jQuery, Adobe CQ5"
India,<2,Full-Stack Web Developer,"<$20,000",,,,,,,,PHP,Python,,,
Australia,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
India,11,Full-Stack Web Developer,"<$20,000",,C++,C#,,,,,,,,,
India,<2,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,Python,,,
United Kingdom,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
Germany,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",C,,C#,Java,JavaScript,,Objective-C,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",C,,,Java,JavaScript,,,PHP,Python,Ruby,SQL,
Canada,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,,Ruby,,
Japan,11,Full-Stack Web Developer,">$140,000",,,,Java,JavaScript,,,,,Ruby,SQL,
Chile,6/10/2014,Full-Stack Web Developer,"<$20,000",,,C#,Java,JavaScript,,,PHP,Python,Ruby,SQL,
Austria,11,Full-Stack Web Developer,"$40,000 - $60,000",,,,Java,,,,,,,,Flex
India,<2,Full-Stack Web Developer,"<$20,000",,,,Java,,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
Italy,11,Full-Stack Web Developer,"$20,000 - $40,000",C,C++,C#,Java,JavaScript,,,,,,,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,C++,C#,Java,JavaScript,,,PHP,Python,,SQL,Perl
Canada,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
India,11,Full-Stack Web Developer,"<$20,000",,,,Java,JavaScript,,,,,,,Groovy
United Kingdom,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,C++,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$120,000 - $140,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
India,2/5/2014,Full-Stack Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
Ukraine,6/10/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
Germany,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,
Netherlands,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,,,,,Ruby,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,redis
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
Sri Lanka,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,,,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,SQL,
Romania,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,,PHP,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,C++,,,JavaScript,Node.js,,PHP,,,,
Georgia,6/10/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,SQL,"mysql, openlayers, google maps"
Italy,2/5/2014,Full-Stack Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
India,<2,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,Node.js,,PHP,,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,,Lisp & Scala
Slovakia,6/10/2014,Full-Stack Web Developer,"<$20,000",C,C++,,Java,JavaScript,,,,Python,,,
Brazil,6/10/2014,Full-Stack Web Developer,"<$20,000",C,C++,C#,Java,JavaScript,,,,,Ruby,SQL,
India,2/5/2014,Full-Stack Web Developer,,,,,,JavaScript,,Objective-C,PHP,,,SQL,
Cyprus,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,Ruby,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
Brazil,2/5/2014,Full-Stack Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
Sweden,11,Full-Stack Web Developer,"$60,000 - $80,000",,C++,C#,,JavaScript,,,,,Ruby,,
United States,2/5/2014,Full-Stack Web Developer,Rather not say,C,,,,JavaScript,Node.js,,,Python,Ruby,SQL,
Bulgaria,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,,Node.js,,,,Ruby,SQL,
Germany,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
France,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,Objective-C,PHP,,,,
United States,6/10/2014,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$120,000 - $140,000",,,,Java,JavaScript,Node.js,Objective-C,PHP,Python,,SQL,AngularJS
United States,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
Turkey,2/5/2014,Full-Stack Web Developer,"<$20,000",,,C#,Java,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,,Python,,SQL,
Russia,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,SQL,
United States,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
United States,11,Full-Stack Web Developer,"$120,000 - $140,000",,,,Java,JavaScript,,,,,,,Scala
France,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,Objective-C,,,,SQL,
Austria,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,
India,<2,Full-Stack Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,SQL,
Israel,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,Nolio
United States,<2,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
Netherlands,<2,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,,,PHP,,,SQL,
Canada,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,Java,JavaScript,Node.js,,,,,,MongoDB
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
Italy,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,Java,,,,PHP,,,SQL,
India,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,Ruby,,
Spain,11,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
Germany,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,,,,,,,,
Ireland,2/5/2014,Full-Stack Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,,
India,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,Java,JavaScript,,,,,,SQL,
Egypt,2/5/2014,Full-Stack Web Developer,,,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,
Australia,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
India,<2,Full-Stack Web Developer,Rather not say,,,,,,,,,Python,,,Haskell
Australia,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,,Scala
United Kingdom,11,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
Netherlands,6/10/2014,Full-Stack Web Developer,"<$20,000",,,,,,,,PHP,Python,,SQL,F#
Canada,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,SQL,plsql
Canada,11,Full-Stack Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,,
Belgium,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,,SQL,
Italy,11,Full-Stack Web Developer,"$20,000 - $40,000",,C++,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,Java,JavaScript,Node.js,,,,,SQL,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,Python,,SQL,
Australia,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,,Ruby,,
India,6/10/2014,Full-Stack Web Developer,"<$20,000",,,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,
United States,6/10/2014,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,,,,Python,Ruby,SQL,Scala
Sweden,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,,,,C#,Java,JavaScript,,,,,,SQL,
United Kingdom,11,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
Ireland,6/10/2014,Full-Stack Web Developer,,,,C#,,JavaScript,,,PHP,,,SQL,
India,2/5/2014,Full-Stack Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,SQL,"Redis, HTML"
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,,,Ruby,,
United Kingdom,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,Java,JavaScript,Node.js,,,,,SQL,
United Kingdom,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
India,2/5/2014,Full-Stack Web Developer,,,,C#,,JavaScript,,,,,,SQL,"ASP.NET MVC, AngularJS, Bootstrap"
United States,11,Full-Stack Web Developer,">$140,000",,,,Java,JavaScript,Node.js,,,Python,,SQL,"Erlang, R"
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,,,,vb.net
India,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,Java,,,,PHP,,,SQL,
Germany,6/10/2014,Full-Stack Web Developer,,,,C#,,,,,,,,SQL,
United Kingdom,2/5/2014,Full-Stack Web Developer,Rather not say,,,,,,,,,,,,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,,Node.js,,,,,,
United States,6/10/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
United Arab Emirates,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,Python,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
Romania,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",C,C++,C#,Java,JavaScript,Node.js,,,,,SQL,
Canada,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,Node.js,Objective-C,,,Ruby,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,Node.js,,,,,SQL,Pig
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,Objective-C,PHP,,,SQL,
Canada,11,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
India,6/10/2014,Full-Stack Web Developer,,,,C#,,JavaScript,,,,,,SQL,
Belgium,11,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
India,2/5/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,
Canada,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,">$140,000",,,C#,,JavaScript,Node.js,,PHP,Python,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,Ruby,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
United Kingdom,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
Canada,2/5/2014,Full-Stack Web Developer,Student / Unemployed,,,,,,Node.js,Objective-C,PHP,,,,
Chile,11,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,Node.js,,PHP,Python,,SQL,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,,
Poland,2/5/2014,Full-Stack Web Developer,Rather not say,,C++,,,,,,,Python,,SQL,
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,Objective-C,PHP,,,SQL,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,Python,,SQL,
Poland,2/5/2014,Full-Stack Web Developer,Rather not say,,,,,JavaScript,Node.js,,PHP,Python,,SQL,erlang
Romania,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,Node.js,,,,,,
Italy,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,C#,,,,,,,,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
Germany,11,Full-Stack Web Developer,"$60,000 - $80,000",C,C++,,Java,JavaScript,,,,,,,
Spain,11,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,,,SQL,"CSS, HTML, MongoDB, Grunt, AngularJS, Compass, jQuery"
Poland,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,SQL,
United Kingdom,11,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
Finland,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,Node.js,,PHP,,,,Scala
Norway,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,,,,ColdFusion
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,,,,,,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,Java,JavaScript,,,,,,SQL,
India,2/5/2014,Full-Stack Web Developer,Rather not say,,,,Java,JavaScript,,,,,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,,
United States,11,Full-Stack Web Developer,,,,C#,,JavaScript,,,,Python,,SQL,
United States,11,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,Java,JavaScript,,,,Python,,SQL,dojo
Netherlands,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,Java,,,,,,,,
United Kingdom,11,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
Australia,11,Full-Stack Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Full-Stack Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
Ecuador,6/10/2014,Full-Stack Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,SQL,
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,VBScript
United States,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,,,SQL,ColdFusion
United States,2/5/2014,Full-Stack Web Developer,Rather not say,,,C#,,JavaScript,,,,,,,F#
Australia,11,Full-Stack Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,Node.js,,,,,SQL,F#
United Kingdom,11,Full-Stack Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,Python,,SQL,
United States,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",C,,,,JavaScript,,,PHP,Python,Ruby,SQL,
Israel,6/10/2014,Full-Stack Web Developer,Student / Unemployed,,,,,JavaScript,Node.js,,PHP,Python,,,Go
France,2/5/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,Python,,SQL,haskell
Germany,11,Full-Stack Web Developer,"$100,000 - $120,000",,,,Java,,,,,,,,"Groovy, PL/I"
Sweden,6/10/2014,Full-Stack Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,"VB.NET, TypeScript"
